Date,Close/Last,Volume,Open,High,Low
2025-05-14,212.33,49325830,$212.43,$213.94,$210.5801
2025-05-15,211.45,45029470,$210.95,$212.96,$209.54
2025-05-16,211.26,54737850,$212.36,$212.57,$209.77
2025-05-19,208.78,46140530,$207.91,$209.48,$204.26
2025-05-20,206.86,42496640,$207.67,$208.47,$205.03
2025-05-21,202.09,59211770,$205.17,$207.04,$200.71
2025-05-22,201.36,46742410,$200.71,$202.75,$199.70
2025-05-23,195.27,78432920,$193.665,$197.70,$193.46
2025-05-27,200.21,56288480,$198.30,$200.74,$197.43
2025-05-28,200.42,45339680,$200.59,$202.73,$199.90
2025-05-29,199.95,51477940,$203.575,$203.81,$198.51
2025-05-30,200.85,70819940,$199.37,$201.96,$196.78
2025-06-02,201.7,35423290,$200.28,$202.13,$200.12
2025-06-03,203.27,46381570,$201.35,$203.77,$200.955
2025-06-04,202.82,43603990,$202.91,$206.24,$202.10
2025-06-05,200.63,55221240,$203.50,$204.75,$200.15
2025-06-06,203.92,46607690,$203.00,$205.70,$202.05
2025-06-09,201.45,72862560,$204.39,$206.00,$200.02
2025-06-10,202.67,54672610,$200.60,$204.35,$200.57
2025-06-11,198.78,60989860,$203.50,$204.50,$198.41
2025-06-12,199.2,43904640,$199.08,$199.68,$197.3601
2025-06-13,196.45,51447350,$199.73,$200.37,$195.70
2025-06-16,198.42,43020690,$197.30,$198.685,$196.5636
2025-06-17,195.64,38856150,$197.20,$198.39,$195.21
2025-06-18,196.58,45394690,$195.94,$197.57,$195.07
2025-06-20,201.0,96813540,$198.235,$201.70,$196.855
2025-06-23,201.5,55814270,$201.625,$202.30,$198.96
2025-06-24,200.3,54064030,$202.59,$203.44,$200.20
2025-06-25,201.56,39525730,$201.45,$203.67,$200.6201
2025-06-26,201.0,50799120,$201.43,$202.64,$199.46
2025-06-27,201.08,73188570,$201.89,$203.22,$200.00
2025-06-30,205.17,91912820,$202.01,$207.39,$199.2607
2025-07-01,207.82,78788870,$206.665,$210.1865,$206.1401
2025-07-02,212.44,67941810,$208.91,$213.34,$208.14
2025-07-03,213.55,34955840,$212.145,$214.65,$211.8101
2025-07-07,209.95,50228980,$212.68,$216.23,$208.80
2025-07-08,210.01,42848930,$210.10,$211.43,$208.45
2025-07-09,211.14,48749370,$209.53,$211.33,$207.22
2025-07-10,212.41,44443640,$210.505,$213.48,$210.03
2025-07-11,211.16,39765810,$210.565,$212.13,$209.86
2025-07-14,208.62,38840110,$209.925,$210.91,$207.54
2025-07-15,209.11,42296340,$209.22,$211.89,$208.92
2025-07-16,210.16,47490530,$210.295,$212.40,$208.64
2025-07-17,210.02,48068140,$210.57,$211.80,$209.59
2025-07-18,211.18,48974590,$210.87,$211.79,$209.7045
2025-07-21,212.48,51377430,$212.10,$215.78,$211.63
2025-07-22,214.4,46404070,$213.14,$214.95,$212.2301
2025-07-23,214.15,46989300,$215.00,$215.15,$212.41
2025-07-24,213.76,46022620,$213.90,$215.69,$213.53
2025-07-25,213.88,40268780,$214.70,$215.24,$213.40
2025-07-28,214.05,37858020,$214.03,$214.845,$213.06
2025-07-29,211.27,51411720,$214.175,$214.81,$210.82
2025-07-30,209.05,45512510,$211.895,$212.39,$207.72
2025-07-31,207.57,80698430,$208.49,$209.84,$207.16
2025-08-01,202.38,104434500,$210.865,$213.58,$201.50
2025-08-04,203.35,75109300,$204.505,$207.88,$201.675
2025-08-05,202.92,44155080,$203.40,$205.34,$202.16
2025-08-06,213.25,108483100,$205.63,$215.38,$205.59
2025-08-07,220.03,90224830,$218.875,$220.85,$216.58
2025-08-08,229.35,113854000,$220.83,$231.00,$219.25
2025-08-11,227.18,61806130,$227.92,$229.56,$224.76
2025-08-12,229.65,55672300,$228.005,$230.80,$227.07
2025-08-13,233.33,69878550,$231.07,$235.00,$230.43
2025-08-14,232.78,51916280,$234.055,$235.12,$230.85
2025-08-15,231.59,56038660,$234.00,$234.28,$229.335
2025-08-18,230.89,37476190,$231.70,$233.12,$230.11
2025-08-19,230.56,39402560,$231.275,$232.87,$229.35
2025-08-20,226.01,42263870,$229.98,$230.47,$225.77
2025-08-21,224.9,30621250,$226.27,$226.52,$223.7804
2025-08-22,227.76,42477810,$226.17,$229.09,$225.41
2025-08-25,227.16,30983130,$226.48,$229.30,$226.23
2025-08-26,229.31,54575110,$226.87,$229.49,$224.69
2025-08-27,230.49,31259510,$228.61,$230.90,$228.26
2025-08-28,232.56,38074700,$230.82,$233.41,$229.335
2025-08-29,232.14,39418440,$232.51,$233.38,$231.37
2025-09-02,229.72,44075640,$229.25,$230.85,$226.97
2025-09-03,238.47,66427840,$237.21,$238.85,$234.36
2025-09-04,239.78,47549430,$238.45,$239.8999,$236.74
2025-09-05,239.69,54870400,$239.995,$241.32,$238.4901
2025-09-08,237.88,48999500,$239.30,$240.15,$236.34
2025-09-09,234.35,66313920,$237.00,$238.7805,$233.36
2025-09-10,226.79,83440810,$232.185,$232.42,$225.95
2025-09-11,230.03,50208580,$226.875,$230.45,$226.65
2025-09-12,234.07,55824220,$229.22,$234.51,$229.02
2025-09-15,236.7,42699520,$237.00,$238.19,$235.03
2025-09-16,238.15,63421100,$237.175,$241.22,$236.3235
2025-09-17,238.99,46508020,$238.97,$240.10,$237.7301
2025-09-18,237.88,44249580,$239.97,$241.20,$236.65
2025-09-19,245.5,163741300,$241.225,$246.30,$240.2106
2025-09-22,256.08,105517400,$248.30,$256.64,$248.12
2025-09-23,254.43,60275190,$255.875,$257.34,$253.58
2025-09-24,252.31,42303710,$255.22,$255.74,$251.04
2025-09-25,256.87,55202080,$253.205,$257.17,$251.712
2025-09-26,255.46,46076260,$254.095,$257.60,$253.78
2025-09-29,254.43,40127690,$254.56,$255.00,$253.01
2025-09-30,254.63,37704260,$254.855,$255.919,$253.11
2025-10-01,255.45,48713940,$255.04,$258.79,$254.93
2025-10-02,257.13,42630240,$256.575,$258.18,$254.15
2025-10-03,258.02,49155610,$254.665,$259.24,$253.95
2025-10-06,256.69,44664120,$257.99,$259.07,$255.05
2025-10-07,256.48,31955780,$256.805,$257.40,$255.43
2025-10-08,258.06,36496900,$256.52,$258.52,$256.11
2025-10-09,254.04,38322010,$257.805,$258.00,$253.14
2025-10-10,245.27,61999100,$254.94,$256.38,$244.00
2025-10-13,247.66,38142940,$249.38,$249.69,$245.56
2025-10-14,247.77,35477990,$246.60,$248.845,$244.70
2025-10-15,249.34,33893610,$249.485,$251.82,$247.47
2025-10-16,247.45,39776970,$248.25,$249.04,$245.13
2025-10-17,252.29,49146960,$248.02,$253.38,$247.27
